id,category,question,answer,keywords,source,timestamp,confidence,difficulty_level,academic_field,citation
1,mathematics,What is Linear Algebra?,"Linear algebra studies vector spaces and linear mappings between them. Core concepts include matrices, determinants, eigenvalues, eigenvectors, and linear transformations used in machine learning, computer graphics, and engineering.","linear algebra,matrices,vectors,eigenvalues",Mathematics Academic Resources,2025-12-03T17:23:58.378421,0.98,advanced,mathematics,"Strang, G. (2016). Introduction to Linear Algebra."
2,mathematics,What is Differential Equations?,"Differential equations relate functions to their derivatives, modeling change in physics, engineering, and biology. Includes ordinary differential equations (ODEs) and partial differential equations (PDEs).","differential equations,ode,pde,calculus",Mathematics Academic Resources,2025-12-03T17:23:58.378439,0.98,advanced,mathematics,Boyce & DiPrima (2017). Elementary Differential Equations.
3,mathematics,What is Real Analysis?,"Real analysis provides rigorous foundations for calculus through study of limits, continuity, convergence, and measure theory. Essential for advanced mathematics and theoretical physics.","real analysis,limits,sequences,continuity",Mathematics Academic Resources,2025-12-03T17:23:58.378444,0.97,advanced,mathematics,"Rudin, W. (1976). Principles of Mathematical Analysis."
4,mathematics,What is Abstract Algebra?,"Abstract algebra studies algebraic structures including groups, rings, fields, and vector spaces. Applications in cryptography, coding theory, and quantum mechanics.","abstract algebra,groups,rings,fields",Mathematics Academic Resources,2025-12-03T17:23:58.378448,0.97,advanced,mathematics,Dummit & Foote (2004). Abstract Algebra.
5,mathematics,What is Topology?,"Topology studies properties preserved under continuous deformations. Includes point-set topology, algebraic topology, and differential topology with applications in data analysis and physics.","topology,continuous,compactness,manifolds",Mathematics Academic Resources,2025-12-03T17:23:58.378451,0.99,advanced,mathematics,"Munkres, J. (2000). Topology."
6,mathematics,What is Number Theory?,"Number theory studies integers and their properties including prime numbers, divisibility, and modular arithmetic. Crucial for cryptography and computer security.","number theory,primes,modular arithmetic",Mathematics Academic Resources,2025-12-03T17:23:58.378454,0.98,advanced,mathematics,Hardy & Wright (2008). Theory of Numbers.
7,mathematics,What is Complex Analysis?,"Complex analysis extends calculus to complex numbers, studying holomorphic functions, contour integration, and residue calculus with applications in engineering and physics.","complex analysis,holomorphic,contour integration",Mathematics Academic Resources,2025-12-03T17:23:58.378456,0.98,advanced,mathematics,"Ahlfors, L. (1979). Complex Analysis."
8,mathematics,What is Probability Theory?,"Probability theory provides mathematical framework for random phenomena including random variables, distributions, expectation, and the central limit theorem.","probability,random variables,distributions",Mathematics Academic Resources,2025-12-03T17:23:58.378458,0.97,advanced,mathematics,"Feller, W. (1968). Probability Theory and Applications."
9,mathematics,What is Mathematical Statistics?,"Mathematical statistics develops theory underlying statistical inference including estimation, hypothesis testing, and decision theory using rigorous mathematical foundations.","statistics,inference,estimation,hypothesis testing",Mathematics Academic Resources,2025-12-03T17:23:58.378462,0.96,advanced,mathematics,Casella & Berger (2002). Statistical Inference.
10,mathematics,What is Numerical Analysis?,"Numerical analysis develops algorithms for approximate solutions to mathematical problems using computers. Includes numerical linear algebra, integration, and differential equations.","numerical analysis,algorithms,approximation",Mathematics Academic Resources,2025-12-03T17:23:58.378465,0.96,advanced,mathematics,Burden & Faires (2010). Numerical Analysis.
